#,Time,fIdx,sIdx,sLen,fImg,cObj,cNam,cCon,tcBr,tcCo,tcUs,tcDs
1,,..\..\data\highreflection/frame000061.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,0,1,-1,-1
2,,..\..\data\highreflection/frame000061.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,10,1,-1,-1
3,,..\..\data\highreflection/frame000061.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,20,1,-1,-1
4,,..\..\data\highreflection/frame000061.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,30,1,-1,-1
5,,..\..\data\highreflection/frame000061.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,40,1,-1,-1
6,,..\..\data\highreflection/frame000061.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,50,1,-1,-1
7,,..\..\data\highreflection/frame000061.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,60,1,-1,-1
8,,..\..\data\highreflection/frame000061.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,70,1,-1,-1
9,,..\..\data\highreflection/frame000061.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,80,1,-1,-1
10,,..\..\data\highreflection/frame000061.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,90,1,-1,-1
11,,..\..\data\highreflection/frame000061.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,100,1,-1,-1
12,,..\..\data\highreflection/frame000062.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1,-1,-1
13,,..\..\data\highreflection/frame000062.jpg,0,1,image0.jpg,1,Right_Indicator,0.83,10,1,-1,-1
14,,..\..\data\highreflection/frame000062.jpg,0,1,image0.jpg,1,Right_Indicator,0.83,20,1,-1,-1
15,,..\..\data\highreflection/frame000062.jpg,0,1,image0.jpg,1,Right_Indicator,0.83,30,1,-1,-1
16,,..\..\data\highreflection/frame000062.jpg,0,1,image0.jpg,1,Right_Indicator,0.83,40,1,-1,-1
17,,..\..\data\highreflection/frame000062.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,50,1,-1,-1
18,,..\..\data\highreflection/frame000062.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,60,1,-1,-1
19,,..\..\data\highreflection/frame000062.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,70,1,-1,-1
20,,..\..\data\highreflection/frame000062.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,80,1,-1,-1
21,,..\..\data\highreflection/frame000062.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,90,1,-1,-1
22,,..\..\data\highreflection/frame000062.jpg,0,1,image0.jpg,1,Right_Indicator,0.8,100,1,-1,-1
23,,..\..\data\highreflection/frame000063.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1,-1,-1
24,,..\..\data\highreflection/frame000063.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,10,1,-1,-1
25,,..\..\data\highreflection/frame000063.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,20,1,-1,-1
26,,..\..\data\highreflection/frame000063.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,30,1,-1,-1
27,,..\..\data\highreflection/frame000063.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,40,1,-1,-1
28,,..\..\data\highreflection/frame000063.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,50,1,-1,-1
29,,..\..\data\highreflection/frame000063.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,60,1,-1,-1
30,,..\..\data\highreflection/frame000063.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,70,1,-1,-1
31,,..\..\data\highreflection/frame000063.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,80,1,-1,-1
32,,..\..\data\highreflection/frame000063.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,90,1,-1,-1
33,,..\..\data\highreflection/frame000063.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,100,1,-1,-1
34,,..\..\data\highreflection/frame000064.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1,-1,-1
35,,..\..\data\highreflection/frame000064.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,10,1,-1,-1
36,,..\..\data\highreflection/frame000064.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,20,1,-1,-1
37,,..\..\data\highreflection/frame000064.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,30,1,-1,-1
38,,..\..\data\highreflection/frame000064.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,40,1,-1,-1
39,,..\..\data\highreflection/frame000064.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,50,1,-1,-1
40,,..\..\data\highreflection/frame000064.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,60,1,-1,-1
41,,..\..\data\highreflection/frame000064.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,70,1,-1,-1
42,,..\..\data\highreflection/frame000064.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,80,1,-1,-1
43,,..\..\data\highreflection/frame000064.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,90,1,-1,-1
44,,..\..\data\highreflection/frame000064.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,100,1,-1,-1
45,,..\..\data\highreflection/frame000065.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1,-1,-1
46,,..\..\data\highreflection/frame000065.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,10,1,-1,-1
47,,..\..\data\highreflection/frame000065.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,20,1,-1,-1
48,,..\..\data\highreflection/frame000065.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,30,1,-1,-1
49,,..\..\data\highreflection/frame000065.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,40,1,-1,-1
50,,..\..\data\highreflection/frame000065.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,50,1,-1,-1
51,,..\..\data\highreflection/frame000065.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,60,1,-1,-1
52,,..\..\data\highreflection/frame000065.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,70,1,-1,-1
53,,..\..\data\highreflection/frame000065.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,80,1,-1,-1
54,,..\..\data\highreflection/frame000065.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,90,1,-1,-1
55,,..\..\data\highreflection/frame000065.jpg,0,1,image0.jpg,1,Right_Indicator,0.81,100,1,-1,-1
56,,..\..\data\highreflection/frame000066.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1,-1,-1
57,,..\..\data\highreflection/frame000066.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,10,1,-1,-1
58,,..\..\data\highreflection/frame000066.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,20,1,-1,-1
59,,..\..\data\highreflection/frame000066.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,30,1,-1,-1
60,,..\..\data\highreflection/frame000066.jpg,0,1,image0.jpg,1,Right_Indicator,0.83,40,1,-1,-1
61,,..\..\data\highreflection/frame000066.jpg,0,1,image0.jpg,1,Right_Indicator,0.83,50,1,-1,-1
62,,..\..\data\highreflection/frame000066.jpg,0,1,image0.jpg,1,Right_Indicator,0.83,60,1,-1,-1
63,,..\..\data\highreflection/frame000066.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,70,1,-1,-1
64,,..\..\data\highreflection/frame000066.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,80,1,-1,-1
65,,..\..\data\highreflection/frame000066.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,90,1,-1,-1
66,,..\..\data\highreflection/frame000066.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,100,1,-1,-1
67,,..\..\data\highreflection/frame000067.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,0,1,-1,-1
68,,..\..\data\highreflection/frame000067.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,10,1,-1,-1
69,,..\..\data\highreflection/frame000067.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,20,1,-1,-1
70,,..\..\data\highreflection/frame000067.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,30,1,-1,-1
71,,..\..\data\highreflection/frame000067.jpg,0,1,image0.jpg,1,Right_Indicator,0.83,40,1,-1,-1
72,,..\..\data\highreflection/frame000067.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,50,1,-1,-1
73,,..\..\data\highreflection/frame000067.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,60,1,-1,-1
74,,..\..\data\highreflection/frame000067.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,70,1,-1,-1
75,,..\..\data\highreflection/frame000067.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,80,1,-1,-1
76,,..\..\data\highreflection/frame000067.jpg,0,1,image0.jpg,1,Right_Indicator,0.82,90,1,-1,-1
