#,Time,fIdx,sIdx,sLen,fImg,cObj,cNam,cCon,tcBr,tcCo,tcUs,tcDs
1,,1,0,1,frame1178.jpg,1,Right_Indicator,0.82,,,,
2,,2,0,1,frame1179.jpg,1,Right_Indicator,0.81,,,,
3,,3,0,1,frame1180.jpg,1,Right_Indicator,0.82,,,,
4,,4,0,1,frame1181.jpg,1,Right_Indicator,0.81,,,,
5,,5,0,1,frame1182.jpg,1,Right_Indicator,0.81,,,,
6,,6,0,1,frame1183.jpg,1,Right_Indicator,0.82,,,,
7,,7,0,1,frame1184.jpg,1,Right_Indicator,0.82,,,,
8,,8,0,1,frame1185.jpg,1,Right_Indicator,0.81,,,,
9,,9,0,1,frame1186.jpg,1,Right_Indicator,0.82,,,,
10,,10,0,1,frame1187.jpg,1,Right_Indicator,0.81,,,,
